Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,57,Mother,Violet010200,who's that ?,Violet,269.57,276.113,CHI plays with some sort of bubble wrapping she found,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|who~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_57
,58,Mother,Violet010200,what do you have ?,Violet,276.113,283.773,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[pro:int|what] [mod|do] [pro:per|you] [v|have ?],,,,,,,,,,MotherofViolet_Violet010200_58
,59,Mother,Violet010200,what's that ?,Violet,283.773,287.783,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_59
,60,Mother,Violet010200,what's that ?,Violet,287.783,289.901,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_60
,61,Mother,Violet010200,what's this Violet ?,Violet,289.901,293.373,[],[1|2|LINK 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|this] [n:prop|Violet ?],,,,,,,,,,MotherofViolet_Violet010200_61
,62,Mother,Violet010200,you want that .,Violet,293.373,296.575,CHI continues to play with bubble wrapping,[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:per|you] [v|want] [pro:dem|that .],,,,,,,,,,MotherofViolet_Violet010200_62
,63,Violet,Violet010200,"yyy , yyy , yyy .",Violet,296.575,311.331,[],[1|0|INCROOT] [2|1|LP] [3|1|PUNCT],[cm|cm] [cm|cm] [.],,,,,,,,,,VioletofViolet_Violet010200_63
,64,Violet,Violet010200,xxx yyy .,Violet,311.331,312.766,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_64
,65,Violet,Violet010200,"&-um , &-uh .",Violet,312.766,356.35,CHI turns the pages of the book .,[1|0|INCROOT] [2|1|PUNCT],[cm|cm] [.],,,,,,,,,,VioletofViolet_Violet010200_65
,66,Violet,Violet010200,yyy yyy .,Violet,356.351,360.966,CHI closes book,[],[],,,,,,,,,,VioletofViolet_Violet010200_66
,67,Mother,Violet010200,are we done ?,Violet,360.966,364.098,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[cop|be&PRES] [pro:sub|we] [part|do&PASTP ?],,,,,,,,,,MotherofViolet_Violet010200_67
,68,Violet,Violet010200,yyy .,Violet,364.098,366.811,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_68
,69,Mother,Violet010200,are we done ?,Violet,366.811,384.66,CHI places bubble wrapping inside book,[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[cop|be&PRES] [pro:sub|we] [part|do&PASTP ?],,,,,,,,,,MotherofViolet_Violet010200_69
