Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
797,Mother,Violet030600,not yet .,Violet,2004.62,2006.083,[],[1|2|NEG] [2|0|INCROOT 3|2|PUNCT],[neg|not] [adv|yet .],,,,,,,,,,MotherofViolet_Violet030600_797
798,Violet,Violet030600,why are we not done ?,Violet,2006.083,2010.798,[],[1|5|LINK] [2|5|AUX] [3|5|SUBJ] [4|3|NEG] [5|0|ROOT 6|5|PUNCT],[adv:int|why] [aux|be&PRES] [pro:sub|we] [neg|not] [part|do&PASTP ?],,,,,,,,,,VioletofViolet_Violet030600_798
799,Mother,Violet030600,we have_to wait a little bit longer .,Violet,2010.798,2012.85,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|6|DET] [5|6|MOD] [6|3|OBJ] [7|6|POSTMOD 8|3|PUNCT],[pro:sub|we] [mod:aux|have_to] [v|wait] [det:art|a] [adj|little] [n|bit] [adj|long-CP .],,,,,,,,,,MotherofViolet_Violet030600_799
800,Violet,Violet030600,xxx .,Violet,2012.85,2016.251,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_800
801,Mother,Violet030600,what else do you wanna do ?,Violet,0.0,0.0,[],[1|3|LINK] [2|1|PQ] [3|6|OBJ] [4|3|OBJ] [5|6|AUX] [6|0|ROOT 7|6|PUNCT],[pro:int|what] [post|else] [v|do] [pro:per|you] [mod:aux|wanna] [v|do ?],,,,,,,,,,MotherofViolet_Violet030600_801
802,Violet,Violet030600,I want to (t:t:trail off),Violet,2016.251,2018.495,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT 4|2|PUNCT],[pro:sub|I] [v|want] [prep|to (mt:trail off)],,,,,,,,,,VioletofViolet_Violet030600_802
803,Violet,Violet030600,xxx I want to read (t:t:trail off),Violet,2018.495,2026.478,[],[] [1|2|SUBJ] [2|0|ROOT] [3|4|INF] [4|2|XCOMP 5|2|PUNCT],[] [pro:sub|I] [v|want] [inf|to] [v|read&ZERO (mt:trail off)],,,,,,,,,,VioletofViolet_Violet030600_803
804,Mother,Violet030600,wanna read more books ?,Violet,2026.478,2035.843,[],[1|2|AUX] [2|0|ROOT] [3|4|QUANT] [4|2|OBJ 5|2|PUNCT],[mod:aux|wanna] [v|read&ZERO] [qn|more] [n|book-PL ?],,,,,,,,,,MotherofViolet_Violet030600_804
805,Mother,Violet030600,xxx .,Violet,2035.843,2047.671,[],[],[],,,,,,,,,,MotherofViolet_Violet030600_805
806,Violet,Violet030600,"I keep slipping and slipping , xxx .",Violet,2047.671,2056.716,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|3|CONJ] [5|4|COORD 6|5|LP] [7|2|PUNCT],[pro:sub|I] [v|keep] [part|slip-PRESP coord|and] [part|slip-PRESP cm|cm] [.],,,,,,,,,,VioletofViolet_Violet030600_806
807,Mother,Violet030600,don't: keep slipping .,Violet,0.0,0.0,[],[1|3|AUX 2|1|NEG] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[mod|do~neg|not] [v|keep] [part|slip-PRESP .],,,,,,,,,,MotherofViolet_Violet030600_807
808,Mother,Violet030600,don't: keep slipping .,Violet,2056.716,2060.166,[],[1|3|AUX 2|1|NEG] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[mod|do~neg|not] [v|keep] [part|slip-PRESP .],,,,,,,,,,MotherofViolet_Violet030600_808
809,Violet,Violet030600,xxx .,Violet,2060.166,2065.876,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_809
810,Mother,Violet030600,I'm looking for this one name that I (t:t:trail off),Violet,0.0,0.0,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|7|MOD] [6|7|MOD] [7|4|POBJ] [8|9|LINK] [9|7|CMOD 10|3|PUNCT],[pro:sub|I~aux|be&1S] [part|look-PRESP] [prep|for] [det:dem|this] [pro:indef|one] [n|name] [pro:rel|that] [pro:sub|I (mt:trail off)],,,,,,,,,,MotherofViolet_Violet030600_810
811,Mother,Violet030600,had before .,Violet,2065.876,2068.961,[],[1|0|ROOT] [2|1|JCT 3|1|PUNCT],[v|have&PAST] [adv|before .],,,,,,,,,,MotherofViolet_Violet030600_811
812,Mother,Violet030600,not Sampson .,Violet,2068.961,2072.216,[],[1|2|NEG] [2|0|INCROOT 3|2|PUNCT],[neg|not] [n:prop|Sampson .],,,,,,,,,,MotherofViolet_Violet030600_812
813,Mother,Violet030600,oh here it is !,Violet,2072.216,2073.054,[],[1|4|COM] [2|4|JCT] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[co|oh] [adv|here] [pro:per|it] [cop|be&3S !],,,,,,,,,,MotherofViolet_Violet030600_813
814,Violet,Violet030600,what ?,Violet,2073.055,2078.001,[],[1|0|INCROOT 2|1|PUNCT],[pro:int|what ?],,,,,,,,,,VioletofViolet_Violet030600_814
815,Violet,Violet030600,xxx .,Violet,2078.001,2081.06,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_815
816,Mother,Violet030600,Picerne apart<ment>s .,Violet,0.0,0.0,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[n:prop|Picerne] [n|apartment-PL .],,,,,,,,,,MotherofViolet_Violet030600_816
817,Mother,Violet030600,Picerne ?,Violet,2081.06,2082.843,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Picerne ?],,,,,,,,,,MotherofViolet_Violet030600_817
818,Violet,Violet030600,parts .,Violet,2082.843,2083.851,[],[1|0|INCROOT 2|1|PUNCT],[n|part-PL .],,,,,,,,,,VioletofViolet_Violet030600_818
819,Mother,Violet030600,it says (t:t:trail off),Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:per|it] [v|say-3S (mt:trail off)],,,,,,,,,,MotherofViolet_Violet030600_819
