Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
266,Naima,Naima021008a,but last time you didn't like sour .,Naima,993.361,1004.095,sound problems[],[1|3|LINK] [2|3|MOD] [3|0|INCROOT] [4|7|SUBJ] [5|7|AUX 6|5|NEG] [7|3|CMOD] [8|7|JCT 9|3|PUNCT],[conj|but] [adj|last] [n|time] [pro:per|you] [mod|do&PAST~neg|not] [v|like] [adj|sour .],,,,,,,,,,NaimaofNaima_Naima021008a_266
267,Mother,Naima021008a,"Naima , come have some milk and cookie .",Naima,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|ENUM] [4|3|OBJ] [5|6|QUANT] [6|4|OBJ] [7|6|CONJ] [8|7|COORD 9|1|PUNCT],[n:prop|Naima cm|cm] [v|come] [v|have] [qn|some] [n|milk] [coord|and] [n|cookie .],,,,,,,,,,MotherofNaima_Naima021008a_267
268,Naima,Naima021008a,Mom .,Naima,1004.095,1010.1,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Mom .],,,,,,,,,,NaimaofNaima_Naima021008a_268
269,Mother,Naima021008a,oh !,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|oh !],,,,,,,,,,MotherofNaima_Naima021008a_269
270,Mother,Naima021008a,sweetie .,Naima,1010.1,1011.821,[],[1|0|INCROOT 2|1|PUNCT],[co|sweetie .],,,,,,,,,,MotherofNaima_Naima021008a_270
271,Naima,Naima021008a,kitty+cat xxx xxx got glue on its tummy .,Naima,1011.821,1016.746,[],[1|2|SUBJ] [] [] [2|0|ROOT] [3|2|OBJ] [4|2|JCT] [5|6|MOD] [6|4|POBJ 7|2|PUNCT],[n|+n|kitty+n|cat] [] [] [v|get&PAST] [n|glue] [prep|on] [det:poss|its] [n|tummy .],,,,,,,,,,NaimaofNaima_Naima021008a_271
272,Mother,Naima021008a,a nice glass of milk .,Naima,1016.746,1021.715,[],[1|3|DET] [2|3|MOD] [3|0|INCROOT] [4|3|NJCT] [5|4|POBJ 6|3|PUNCT],[det:art|a] [adj|nice] [n|glass] [prep|of] [n|milk .],,,,,,,,,,MotherofNaima_Naima021008a_272
273,Mother,Naima021008a,what happened ?,Naima,1021.715,1034.282,[],[1|2|LINK] [2|0|ROOT 3|2|PUNCT],[pro:int|what] [v|happen-PAST ?],,,,,,,,,,MotherofNaima_Naima021008a_273
274,Mother,Naima021008a,was it wet on the floor there ?,Naima,1034.282,1036.564,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT] [5|6|DET] [6|4|POBJ] [7|3|JCT 8|3|PUNCT],[cop|be&PAST&13S] [pro:per|it] [v|wet&ZERO] [prep|on] [det:art|the] [n|floor] [adv|there ?],,,,,,,,,,MotherofNaima_Naima021008a_274
275,Naima,Naima021008a,yeah .,Naima,1036.564,1038.54,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,NaimaofNaima_Naima021008a_275
276,Mother,Naima021008a,yeah .,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,MotherofNaima_Naima021008a_276
277,Mother,Naima021008a,that's alright .,Naima,1038.54,1040.099,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:dem|that~cop|be&3S] [adj|alright .],,,,,,,,,,MotherofNaima_Naima021008a_277
278,Mother,Naima021008a,I'm looking for the valve .,Naima,1040.099,1044.308,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|6|DET] [6|4|POBJ 7|3|PUNCT],[pro:sub|I~aux|be&1S] [part|look-PRESP] [prep|for] [det:art|the] [n|valve .],,,,,,,,,,MotherofNaima_Naima021008a_278
